id	filename	md5	size	state
6169388a-a85b-46d7-9f7f-5a28b577510c	jhu-usc.edu_ESCA.HumanMethylation450.3.lvl-3.TCGA-M9-A5M8-01A-11D-A28C-05.gdc_hg38.txt	3b6532a0697bb4da1e67b39bb5bdcb76	141277427	live
19f2d4a2-39d4-44d3-b6c9-e84ce1534b13	jhu-usc.edu_PRAD.HumanMethylation450.2.lvl-3.TCGA-G9-6332-11A-01D-1787-05.gdc_hg38.txt	ebfa702cc68d83c69b3bd6ef51c093f1	141290478	live
131cfad9-90f9-4bc0-a7ac-0fa7730ede34	jhu-usc.edu_BLCA.HumanMethylation450.20.lvl-3.TCGA-E7-A7PW-01A-11D-A34V-05.gdc_hg38.txt	acfc6841b13d2787f84128d1f1d82497	141295767	live
8e75163b-2aaf-4d8b-84fb-7c0236be6f41	jhu-usc.edu_HNSC.HumanMethylation450.8.lvl-3.TCGA-CR-7404-01A-11D-2130-05.gdc_hg38.txt	789eae617a652ae34b296951fcfe3b93	141271714	live
a06991ba-4fa6-46e7-be04-2a08b1eab655	jhu-usc.edu_KIRP.HumanMethylation450.15.lvl-3.TCGA-2Z-A9JN-01A-21D-A42K-05.gdc_hg38.txt	b6cde9948dd5778030f4f23febe6ec3f	141301312	live
3288af19-443c-4d48-a4b6-0f29d59a8507	jhu-usc.edu_PAAD.HumanMethylation450.12.lvl-3.TCGA-FB-AAPZ-01A-11D-A40Y-05.gdc_hg38.txt	05afe8fc1d6c499a31713c8eed70832f	141279367	live
bd60b352-9f37-434b-a6a7-dc6726d0064d	jhu-usc.edu_THCA.HumanMethylation450.5.lvl-3.TCGA-E8-A2JQ-01A-11D-A19K-05.gdc_hg38.txt	d66648c07a2388fd5c0557812a948c45	141288650	live
b3deda19-4a9a-44a8-bc28-2097659c4368	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-B0-5705-01A-11D-1536-05.gdc_hg38.txt	eff75f7e2af80219d4dd7cc1f91678bc	141281148	live
bdaa4d95-5d3b-46fe-9a82-54230aa16ba3	jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-GV-A3QH-01A-11D-A223-05.gdc_hg38.txt	e18de64db4125fc2feaece3065aab7a2	141299148	live
7bac2072-da30-47ac-89c0-421dc780f33f	jhu-usc.edu_UCEC.HumanMethylation450.8.lvl-3.TCGA-D1-A1NU-01A-11D-A14H-05.gdc_hg38.txt	0776dcbd76a2f938c9db6cc80bc8b4c0	141287670	live
632a9901-7052-41f0-be7f-7c885719a7ab	jhu-usc.edu_PAAD.HumanMethylation450.2.lvl-3.TCGA-HZ-7926-01A-11D-2157-05.gdc_hg38.txt	23f2f512c96d7e418414ae5472f44242	141276617	live
